Stock Invested in,Sector,Value(Mn), % of Total Holdings,1Y Highest Holding,1Y Lowest Holding
 Varroc Engineering Pvt Ltd.,Auto ancillaries,171.6,0.21%,0.34% (Sep 2021),0.21% (Aug 2022)
Anonymous,Computers - software,163.3,0.20%,0.52% (Sep 2021),0.19% (Jun 2022)
Anonymous,Cables - electricals,159.6,0.19%,0.38% (Nov 2021),0.19% (Aug 2022)
 Barbeque-Nation Hospitality Ltd.,Consumer food,137.4,0.16%,0.33% (Oct 2021),0.15% (May 2022)
Anonymous,Chemicals - speciality,114.6,0.14%,0.16% (Jun 2022),0% (Sep 2021)
 Clean Science and Technology Ltd.,Chemicals - speciality,52.2,0.06%,0.25% (Oct 2021),0.06% (Aug 2022)
Anonymous,Other financial services,39.4,0.05%,0.06% (May 2022),0% (Sep 2021)
 Patanjali Foods Ltd.,Consumer food,14.5,0.02%,0.11% (Apr 2022),0% (Sep 2021)
 Bajaj Electricals Ltd.,Home appliances,6763.4,4.90%,5.49% (Sep 2021),4.55% (May 2022)
 Sonata Software Ltd.,Computers - software,5775.8,4.19%,5.35% (Nov 2021),4.19% (Aug 2022)
 Bank Of Baroda,Banks,5189.5,3.76%,3.76% (Aug 2022),1.05% (Dec 2021)
 Firstsource Solutions Ltd.,It enabled services – software,5050.2,3.66%,7.2% (Oct 2021),3.66% (Aug 2022)
 eClerx Services Ltd.,It enabled services – software,3913.4,2.84%,3.4% (Dec 2021),2.84% (Aug 2022)
 Great Eastern Shipping Co. Ltd.,Shipping,3798.7,2.75%,2.75% (Aug 2022),1.35% (Dec 2021)
 Aster DM Healthcare Ltd.,Hospital,3649.4,2.65%,2.93% (Jul 2022),2.07% (Dec 2021)
 Chambal Fertilizers & Chemicals Ltd.,Fertilisers-composite,3642.6,2.64%,4.39% (Apr 2022),2.38% (Jun 2022)
 Gujarat Fluorochemicals Ltd.,Chemicals - speciality,3454.4,2.50%,2.74% (Jan 2022),1.87% (Oct 2021)
 KEI Industries Ltd.,Cables - electricals,3403.3,2.47%,2.63% (Sep 2021),1.99% (Feb 2022)
 PNC Infratech Ltd.,Construction civil,3352.9,2.43%,3.37% (Sep 2021),2.27% (Dec 2021)
 SKF India Ltd.,Bearings,3108.8,2.25%,2.25% (Aug 2022),1.58% (Sep 2021)
 Vardhman Textiles Ltd.,Spinning-cotton/blended,3061.9,2.22%,3.86% (Feb 2022),2.08% (Jun 2022)
 Infrastructure Development Finance Company Limited,Financial institution,3028.1,2.19%,2.19% (Aug 2022),0% (Sep 2021)
 Sharda Cropchem Ltd.,Pesticides and agrochemicals,2934.1,2.13%,3.33% (May 2022),1.32% (Oct 2021)
 Transport Corporation Of India Ltd.,Logistics solution provider,2933.6,2.13%,2.51% (May 2022),1.3% (Sep 2021)
 Radico Khaitan Ltd.,Brew/distilleries,2837.1,2.06%,3.03% (Dec 2021),2.06% (Aug 2022)
Delta Corp Ltd.,Other recreational activities,2366.1,1.71%,2.12% (Mar 2022),1.55% (Dec 2021)
 La-Opala RG Ltd.,Glass – consumer,2271.5,1.65%,1.98% (Dec 2021),1.4% (May 2022)
 Suprajit Engineering Ltd.,Auto ancillaries,2283.3,1.65%,2.27% (Nov 2021),1.65% (Aug 2022)
 Kirloskar Ferrous Industries Ltd.,Pig iron,2268.4,1.64%,1.71% (Apr 2022),1.38% (Dec 2021)
 Finolex Industries Ltd.,Plastic products,2110.3,1.53%,2.63% (Oct 2021),1.42% (Jul 2022)
 Federal Bank Ltd.,Banks,2116,1.53%,1.53% (Aug 2022),1.03% (Dec 2021)
 Redington (India) Ltd.,Logistics solution provider,2097.9,1.52%,1.68% (Feb 2022),1.34% (Jul 2022)
 KEC International Ltd.,Engineering, designing,1.47%,-0.31%,
 Gabriel India Ltd.,Auto ancillaries,1916.2,1.39%,1.39% (Aug 2022),0.92% (Jan 2022)
 Indian Bank,Banks,1839.2,1.33%,1.33% (Aug 2022),0.75% (Dec 2021)
 Insecticides (India) Ltd.,Pesticides and agrochemicals,1751.8,1.27%,1.38% (Jul 2022),0.84% (Oct 2021)
 Kalpataru Power Transmission Ltd.,Transmission towers,1721.1,1.25%,1.34% (Oct 2021),1.16% (Dec 2021)
 L G Balakrishnan & Bros Ltd.,Auto ancillaries,1730.6,1.25%,1.35% (Jul 2022),0.83% (Sep 2021)
 Power Mech Projects Ltd.,Engineering,,1.25%,0.38%,
 Emami Ltd.,Personal care,1630.6,1.18%,1.42% (Sep 2021),1.16% (May 2022)
 Chalet Hotels Ltd.,Hotels/resorts,1611.5,1.17%,1.34% (Jun 2022),0.93% (Dec 2021)
 Unichem Laboratories Ltd.,Pharmaceuticals,1540.9,1.12%,1.15% (Jul 2022),0.83% (Nov 2021)
 Nilkamal Ltd.,Plastic products,1516.6,1.10%,1.88% (Sep 2021),1.1% (Aug 2022)
 Tata Metaliks Ltd.,Pig iron,1511.1,1.10%,1.51% (Sep 2021),1.05% (Jul 2022)
 Gateway Rail Freight Ltd.,Logistics solution provider,1505.4,1.09%,1.23% (Jul 2022),0% (Sep 2021)
 TV Today Network Ltd.,Tv broadcasting & software production,1500,1.09%,1.65% (Dec 2021),1.09% (Aug 2022)
 Nrb Bearings Ltd.,Bearings,1428.7,1.04%,1.07% (Nov 2021),0.79% (Mar 2022)
 Carborundum Universal Ltd.,Abrasives,1416,1.03%,1.21% (Dec 2021),0.99% (Apr 2022)
 Mirza International Ltd.,Leather and leather products,1424.8,1.03%,1.03% (Aug 2022),0% (Sep 2021)
 Procter & Gamble Health Ltd.,Pharmaceuticals,1346.5,0.98%,1.23% (Oct 2021),0.98% (Mar 2022)
 Shaily Engineering Plastics Ltd.,Plastic products,1345.6,0.98%,1.18% (Mar 2022),0.94% (Jan 2022)
 EIH Ltd,Hotels/resorts,1341.8,0.97%,1.04% (Apr 2022),0.76% (Dec 2021)
 DCB Bank Ltd.,Banks,1301.9,0.94%,0.95% (May 2022),0.76% (Mar 2022)
 Equitas Small Finance Bank Ltd.,Banks,1215.7,0.88%,1.29% (Oct 2021),0.88% (Aug 2022)
 Voltamp Transformers Ltd.,Power equipment,,0.84%,1.13% (Jul 2022),0% (Sep 2021)
 Advanced Enzyme Technologies Ltd.,Consumer products,,0.83%,1.23% (Sep 2021),0.83% (Aug 2022)
 Apar Industries Ltd.,Power equipment,,0.79%,0.79% (Aug 2022),0.39% (Sep 2021)
 Bajaj Consumer Care Ltd.,Personal care,,0.78%,1.26% (Sep 2021),0.75% (May 2022)
 GNA Axles Ltd.,Auto ancillaries,,0.69%,0.83% (Sep 2021),0.45% (Mar 2022)
 Goodyear India Ltd.,Tyres & allied,,0.69%,0.76% (Jun 2022),0.6% (Mar 2022)
 Repco Home Finance Ltd.,Housing finance,,0.67%,0.87% (Sep 2021),0.42% (Jun 2022)
 Greenlam Industries Ltd.,Plywood boards,,0.50%,0.57% (Mar 2022),0.41% (Sep 2021)
 IFGL Refractories Limited,Refractories,,0.49%,0.62% (Sep 2021),0.49% (Aug 2022)
 Engineers India Ltd.,Engineering,,0.48%,-0.03%,
# Bharat Earth Movers Ltd.,Industrial equipment,643.7,0.47%,0.47% (Aug 2022),0% (Sep 2021)
 Vesuvius India Ltd.,Refractories,561.2,0.41%,0.41% (Aug 2022),0.3% (Feb 2022)
 DB Corp Ltd.,Printing and publishing,515.8,0.37%,0.37% (Oct 2021),0.31% (Jun 2022)
 Multi Commodity Exchange Of India Ltd.,Other financial services,471.4,0.34%,0.47% (Oct 2021),0.34% (Aug 2022)
 Oriental Carbon and Chemicals Ltd.,Chemicals - inorganic,472,0.34%,0.43% (Sep 2021),0.33% (May 2022)
 VRL Logistic Ltd.,Logistics solution provider,434.3,0.31%,0.37% (Jun 2022),0% (Sep 2021)
 Rolex Rings Private Ltd.,Auto ancillaries,330.3,0.24%,0.26% (Jul 2022),0% (Sep 2021)
 Jagran Prakashan Ltd.,Printing and publishing,256.4,0.19%,0.22% (Feb 2022),0.17% (Jul 2022)
 Sadbhav Engineering Ltd.,Engineering, designing,0.10%,-0.01%,
 Suprajit Engineering Ltd.,Auto ancillaries,3022.5,3.37%,4.07% (Nov 2021),2.9% (Sep 2021)
 Ratnamani Metals & Tubes Ltd.,Steel products,2873.1,3.20%,3.26% (May 2022),2.23% (Jan 2022)
 Atul Ltd.,Chemicals - speciality,2863.7,3.19%,3.73% (Mar 2022),3.06% (May 2022)
 Cyient Ltd.,It enabled services – software,2839.8,3.16%,3.16% (Aug 2022),1.19% (Sep 2021)
